id,tweet
1491916126787362817,"Aparentemente só se pega covid no ensino público, que contenção de pandemia é essa que as escolas privadas podem continuar no presencial mas as estaduais precisam postergar o retorno? @belivaldochagas https://t.co/4gpgRcMARI"
1491916123222294539,nina tá com covid e meu coração tá como 🤏🏼
1491916116586909699,A partir de quantos dias pode beber e fumar depois de ter tido covid Google pesquisar
1491916039931801601,"Covid-19: ‘Tô com vergonha, pela primeira vez, de ser prefeito dos cariocas’, diz Paes sobre pais que não vacinam os filhos https://t.co/wwx0bSutco"
1491916004976259072,Ocupação nos leitos de UTIs para Covid-19 é de 80% em oito estados https://t.co/TGL6eSi0RU
1491915981136052228,"Dr Waldemiro indignado que eu n peguei covid ainda, agora tô com medo de pegar kkkkkkk"
1491915972587970565,"Vc sabia? Bolsonaro diz que testes quase vencidos foram distribuídos, mas material está com governo. Estadão revelou que 6,86 milhões de testes para COVID-19 estão em poder do Estado. Ou seja Bolsonaro mentiu mais uma vez... 
 https://t.co/9i7EJ2giRC"
1491915972583866382,"Vc sabia? No Natal, Bolsonaro disse que Brasil é referência no combate à covid... Só se for referência negativa... 
 https://t.co/RWxAwzOGbT"
1491915926610100241,"Nova vítima é um homem de 57 anos que possuía comorbidades

https://t.co/QJYHsaXDvJ"
1491915918900965379,"@Livlucena03 @Mynitona @luizeduardoce @PepitaOfc Estranho pq tem o lance do afastam,covid e tal"
1491915885447155713,"A agência Amuse informou que a dubladora Moeka Koizumi (Nana Daiba em ""Shoujo Kageki Revue Starlight"") testou positivo para COVID-19. O artista suspendeu as atividades para se recuperar da doença. https://t.co/l8IJxAAEOO"
1491915857982857217,"A fim de preservar meu direito de faltar inconsequentemente a compromissos, declaro que já peguei covid umas 3x só nesse ano."
1491915815012163585,@bnews_oficial A Covid agradeçe
1491915794921496577,"Falar pra kelvis que eu juro que to tentando fazer academiakkkkk
Comecei, faltei uns dias pq fiquei gripada, na outra semana fui mas tava com outra coisa, depois viajei, voltei, fui uns 3 dias e depois teve o covid
Pedir até pra pagar menos esse mês pq quase nem fui"
1491915789217189893,"@exudoblues VENDO DOIS INGRESSOS NO PRECINHO JURO.
MOTIVO: COVID POSITIVO.
PELO AMOR DE DEUS ALGUÉM COMPRA NAO É GOLPE, bjs."
1491915764663738369,"O Ministro da Saúde, Marcelo Queiroga, defendeu hoje que a dose de reforço da vacina contra a Covid-19 é o que vai fazer a diferença contra a pandemia no Brasil, e que é preciso ampliar a cobertura da população com a terceira aplicação. https://t.co/U0ruCNQGo8"
1491915724784340996,"Autor do projeto, o Pastor Eurico (Patriota-PE) argumenta que a medida tem como objetivo evitar aglomerações em meio à nova onda de casos de Covid-19. https://t.co/5l9HDqUhjq"
1491915711282913280,"Preciso pegar covid até domingo
pq não eu não sei falar 🤪 https://t.co/MGNAUkjV99"
1491915696443473920,@gutileonardo @defensivenbabr @arthurfkshelby @brasilcoast2 mas o Nets tem KD que pra mim é o melhor da atualidade pena que tá se fodendo com covid e lesões.
1491915696053403663,"@roxmo Quantos já tinham problema de saúde e morreram COM covid e não DE covid????????
🤔🤔🤔🤔🤔🤔🤔🤔"
1491915682795110400,fodase que eu to com covid eu to preocupada com o aniversário do meu irmão não queria perder isso ele vai ficar tão tristinho não quero que ele passe por isso
1491915681792770074,"ora ora quem diria (todos os especialistas haha)
https://t.co/jcXo9npBoZ"
