id,tweet,geo
1494449618679119874,"@Lima0820_ Hoje tá rolando Paulistão no YouTube com imagens ao vivo e grátis! Aproveite a narração que você quiser, novos ângulos de câmeras, chat ao vivo, muito conteúdo e zoeira sem fim. Clique aqui para assistir Mirassol x Santos no canal do Paulistão no YouTube", 
1494449618595287042,Me fizeram tanta raiva hoje que eu fui correr na esteira atrás da minha paz. Conclusão: a paz custa correr 5 km!, 
1494449618523992067,"Ou até seder a pressão e beijar quem a gente não quer, no meu caso enchiam a porra do meu saco pra beijar os meninos, sendo q sou sapatão https://t.co/mbSZza6P6U",c44302d542084bfe
1494449618511450112,Mais uma decepção para a lista longa da Ingrid. #QuantoMaisVidaMelhor, 
1494449618087731206,"Todos nós concordamos que a trilha sonora de Stranger Things tem que ter The Weeknd?

https://t.co/ZUdCAZvZte", 
1494449618045882368,"@ViniWmp Se a ICAR fosse como devia ser, seria um deserto.
É que ninguém é católico praticante de fato.
Até que esse Papa é legalzinho, mas se fosse sério, catolicismo só seria viável em Bedrock.
Aliás, não entendo preconceitos com as igrejas evangélicas, a igreja católica é ruim demais.", 
1494449617982922757,o anjo e a crackuda https://t.co/YRf3tBGv0z, 
1494449617865527300,@doeporBTS @BTS_twt A bolsa peluda e o chaveiro então adm, 
1494449617773150210,"@FerreiraGamorim @BeCabanelas É um realidade que assusta!
Gente acabou o reality! Tocemos por eles la dento, aqui fora que desse certo, porei não deu e tá tudo bem, vidas e escolhas deles, o que nós resta como fã é fica feliz com as escolhas de abos, gostando ou não  das escolhas a VIDA! São deles.", 
1494449617295007744,pq tão comparando a gigi com aquela rata francesa? pelo amor, 
1494449617198534662,"@ReitoraDaFuderj Meus sentimentos Naluh, forças pra ti. Que você consiga se recuperar dessa tristeza e consiga ser a Naluh carismática que todos conhecem por aqui. Forte abraço e toda força do mundo pra ti...", 
1494449617014083585,"@Ally_books a pressão q tô tendo, pqp", 
1494449616997306371,@ihateeverybory ue mas a gente malha é pra comer mesmo, 
1494449616762380293,"@jadresupremacy Tbm queria ver isso! Pq eu nunca vi a Jade falando dela, inclusive tinha uma consideração com ela por ela ser to bendito quarto, mesmo sabendo que a Maria nao confiava nela.", 
1494449616699502596,A parte final tenho minhas dúvidas https://t.co/5PKkfZLr16, 
1494449616678445061,"@mel_Fuller22 Pq acha isso, acho que não a temporada da começando agora e meio que ele teve tá testando e vendo como está o elenco hein", 
1494449616665915401,"O P.A vai sair do bbb cantor, fdp canta bem pra crlh", 
1494449616653332480,"Bem vindos à Choi Lia Brasil, sua melhor fonte de informações sobre a Lia. Sigam e ativem as notificações!!

🧼 @liabolha
🐱 https://t.co/LqwGH8l2I6

#ITZY #LIA #있지 #리아 @ITZYofficial https://t.co/lBz1Q73gx0", 
1494449616523304967,"o marcus: ""não gosto de sabe your tears""
also marcus: *sabe a letra de cor*", 
1494449616489795584,eu e a mafalda a rir o caminho todo até o metro por causa da minha máquina de lavar a roupa https://t.co/yOjStvcqrM, 
1494449616246525953,MEU DEUS é MUITO DIFÍCIL calcular a nota da UnB MUITO, 
1494449615927754756,"@CavasiniLaura Isso aí se chama série B , (série burra ) , parecendo a Tayná já amg kkkkkkkk", 
1494449615894204419,se a gente vira esse jogo eu não sei oq eu faço da minha vida, 
1494449615894192132,@ShurequeHolmes @farpadordaloud 500 conto a do fx, 
1494449615822852097,A gente gravando tiktok literalmente na entrada da escola e todo mundo olhando eu tava quase me enfiando em um buraco, 
1494449615780864004,Nesse mundo de gelo tou a patinar pra ti, 
1494449615780864001,a carinha dela ai essas tidinhas do twice são umas queridas https://t.co/a1gLDpwI8J, 
1494449615717941254,"@mikedacunha @dianagribeiroo Depende. Se usares um avião como quem usa transportes publicos suburbanos, aka fazer uma comute de mochila às costas, as low compensam a vasta maioria das vezes. Muitas vezes vasta uma mala de porão para estares a pagar o mesmo. E depende dos destinos.", 
1494449615403376640,"Acho a zendaya bem normal fds
Linda. Mas normal", 
1494449615189553158,ursinho gatinho bebê tudo tudo Tudo meu :( eu te wmo de verdade vc é o Único a me fazer sentir o amor genuíno https://t.co/l64ZaXWoPI, 
1494449614950477825,update: quando acabou eu vi ele no final e ele tava  instruindo a galera pra saida aí ele me viu e perguntou se eu gostei do filme e eu disse que gostei muito ai eu acho que ele ia comentar mais mas eu fui andando depois de dar tchau pq o som dos creditos tava muito alto https://t.co/bkGSECpSPV, 
1494449614753345538,"@arrobaraujo Seja o restaurador que você quer ver no mundo

Eu e a Thici ficamos jogando
https://t.co/0cJehNnTCf", 
1494449614669463556,"serase eu cometo a loucura de pintar meu cabelo amanhã hein, não aguento mais esse tom água de xuxu", 
1494449614661079044,"@2_vity @meelzitos olha a carinha dela, a surra no p0rt3r", 
1494449614539431942,Eu a 5min atrás tentando convencer se fazia mais coisa ou iria descansar e daí a enel decidiu fazer a segunda opção PQ NÃO TEM LUZ PRA CONTINUAR O QUE EU TAVA FAZENDO, 
1494449614434586626,"Tá mas e a mãe dele q só deixou ele sair, pq ele tava saindo cmg 🤧🤧🤧", 
1494449614409412613,hj aprendi a trocar pra 2ª marcha e passei do lado de um dog que tava deitado no meio da rua(sem assustar ou atropelar ele). Foram momentos de tensão, 
1494449614338105355,Deus que a Jeep me chame pra trabalhar no escritório deles 🥰, 
1494449614006767618,@Plusitive__ A S M I M I N A L, 
1494449613977407494,A gente sabe que tá velho quando da 8 da noite e só quer dormir, 
1494449613897613315,"Na vida vc só tem certeza de 2 coisas,
A primeira é a Morte, e a 2 é q aqla moça mto bonita q te manda msg no insta é apenas vendedora da Tim kakakak", 
1494449613776076806,"Quero ser engenheira mas não sei matemática básica. 
O que fazer?
Vamos gritar ""Racismo, feminicidio, Fora Bolsonaro"" que a vaga vem. https://t.co/VanA8BFr51", 
1494449613595631616,meu deus a lua tá linda, 
1494449613419462658,"Camacho é craque. Faz a função de primeiro volante bem demais

Vamo caralho", 
1494449613415362563,"@CamaroteVerde Hoje tá rolando Paulistão no YouTube com imagens ao vivo e grátis! Aproveite a narração que você quiser, novos ângulos de câmeras, chat ao vivo, muito conteúdo e zoeira sem fim. Clique aqui para assistir Mirassol x Santos no canal do Paulistão no YouTube", 
1494449613386006528,@TweetaIsis A machucada ou o líder? Quando joga essas coisas assim pro universo é bom ser bem específica pra não dar melda kkk, 
1494449613264326660,@LOUDgg Esse ITAU GIGANTESCO consegue acabar totalmente com a camisa, 
1494449613172097032,"Pedro em : Tentando namorar o Thiago com a participação dos conselhos de : @callme___gusta 

Em breve nos cinemas!", 
1494449612702240781,"vcs viram a nova coleção que a pandora fez em parceria com a marvel? 

o marvete não tem um pingo de paz

MIL REAIS UM BERLOQUE https://t.co/peyxZ0Dqfu", 
